disease_type,disease_name,href
Foot surgery ,"Achilles tendon bursitis
                        or tendinitis",/disease/achilles-bursitis-or-tendinitis
Foot surgery ,Achilles tendon rupture,/disease/achilles-tendon-rupture
Foot surgery ,Ankle arthritis,/disease/ankle-arthrosis
Foot surgery ,"Ankle impingement
                        syndrome",/disease/ankle-impingement-syndrome
Foot surgery ,Ankle instability,/disease/ankle-instability
Foot surgery ,Ankle sprain and rupture,/disease/ankle-sprain-and-fracture
Foot surgery ,"Bunion
                        (Hallux Abducto Valgus)",/disease/unilateral-or-bilateral-hallux-valgus-hallux-rigidus
Foot surgery ,"Foot pronation
                        (clubfoot) in children",/disease/foot-pronation-clubfoot-in-children
Foot surgery ,Haglund’s syndrome,/disease/haglund-s-syndrome
Gamma knife ,"Arteriovenous
                        malformation (AVM)",/disease/arteriovenous-malformation-avm
Gamma knife ,Benign tumor of brain,/disease/benign-tumor-of-brain
Gamma knife ,Intracranial germinoma,/disease/intracranial-germinoma
Gamma knife ,"Juvenile
                        nasopharyngeal angiofibroma",/disease/juvenile-nasopharyngeal-angiofibroma
Gamma knife ,Spinal neurinoma,/disease/spinal-neurinoma
Gamma knife ,Vascular tumors,/disease/vascular-tumors
Gastroenterology ,Bile duct inflammation,/disease/bile-duct-inflammation
Gastroenterology ,Bile duct obstruction,/disease/bile-duct-obstruction
Gastroenterology ,Bile duct stones,/disease/bile-duct-stones
Gastroenterology ,"Cancer
                        of the bile duct",/disease/cancer-of-the-bile-duct-with-bile-duct-obstruction
Gastroenterology ,Chronic pancreatitis,/disease/chronic-pancreatitis
Gastroenterology ,Cirrhosis of the liver,/disease/cirrhosis-of-the-liver
Gastroenterology ,Crohns disease,/disease/crohns-disease
Gastroenterology ,Diverticulitis and diverticulosis,/disease/diverticulitis
Gastroenterology ,Duodenal stenosis,/disease/duodenal-stenosis
Gastroenterology ,Duodenal ulcer,/disease/duodenal-ulcer
Gastroenterology ,Duodenitis,/disease/duodenitis
Gastroenterology ,Esophageal cancer,/disease/esophageal-cancer
Gastroenterology ,Esophageal ulcer,/disease/esophageal-ulcer
Gastroenterology ,Esophagitis,/disease/esophagitis
Gastroenterology ,Fistula of bile duct,/disease/fistula-of-bile-duct
Gastroenterology ,Gastric polyps,/disease/gastric-polyps
Gastroenterology ,Gastritis,/disease/gastritis
Gastroenterology ,"Gastrointestinal
                        carcinoid tumors ",/disease/gastrointestinal-carcinoid-tumors
Gastroenterology ,Liver fibrosis,/disease/liver-fibrosis
Gastroenterology ,Liver metastases,/disease/liver-metastases
Gastroenterology ,Pancreatic cancer,/disease/pancreatic-cancer
Gastroenterology ,Pancreatic pseudocyst,/disease/pancreatic-pseudocyst
Gastroenterology ,Rectal cancer,/disease/colorectal-cancer
Gastroenterology ,Stenosis of the esophagus,/disease/stenosis-of-the-esophagus
Gastroenterology ,"Stomach ulcer (peptic
                        ulcer)",/disease/stomach-ulcer-peptic-ulcer
Gastroenterology ,Ulcerative colitis,/disease/ulcerative-colitis
Gastroenterology ,"Zollinger–Ellison
                        Syndrome",/disease/gastrin-secretion-disorder
Gynecology ,Abscess bartholin gland,/disease/abscess-bartholin-gland
Gynecology ,Abscess douglas space,/disease/abscess-douglas-space
Gynecology ,Bartholin gland cyst,/disease/bartholin-gland-cyst
Gynecology ,"Benign tumors of the
                        ovaries",/disease/benign-tumors-of-the-ovaries
Gynecology ,Benign vulvar tumor,/disease/benign-vulvar-tumor
Gynecology ,"Borderline
                        epithelial ovarian tumors",/disease/borderline-epithelial-ovarian-tumors
Gynecology ,Brenner tumor,/disease/brenner-tumor
Gynecology ,Cervical cancer,/disease/cervical-cancer
Gynecology ,Choriocarcinoma,/disease/choriocarcinoma
Gynecology ,Chronic parametritis,/disease/chronic-parametritis
Gynecology ,Cystocele and rectocele,/disease/cystocele-and-rectocele
Gynecology ,"Deformity of the
                        external genitalia",/disease/deformity-of-the-external-genitalia
Gynecology ,"Endometrial cancer
                        (uterine cancer)",/disease/endometrial-cancer-uterine-cancer
Gynecology ,"Endometrioid ovarian
                        cyst",/disease/endometrioid-ovarian-cyst-chocolate-cysts--endometriomas
Gynecology ,"Endometriosis of the
                        pelvic cavity",/disease/endometriosis-of-the-pelvic-cavity
Gynecology ,"Germ cell
                        tumors of the ovary (dysgerminom)",/disease/germ-cell-tumors-of-the-ovary-dysgerminom
Gynecology ,"Hyperplasia and
                        endometrial hyperplasia",/disease/hyperplasia-and-endometrial-hyperplasia
Gynecology ,"Intrauterine
                        adhesions (ashermans syndrome)",/disease/intrauterine-adhesions-ashermans-syndrome
Gynecology ,Ovarian cancer,/disease/ovarian-cancer
Gynecology ,Ovarian cyst,/disease/ovarian-cyst
Gynecology ,Ovarian teratoma,/disease/ovarian-teratoma
Gynecology ,Ovarian yolk sac tumor,/disease/ovarian-yolk-sac-tumor
Gynecology ,Polyembryoma ovarian,/disease/polyembryoma-ovarian
Gynecology ,Recto-vaginal fistula,/disease/recto-vaginal-fistula
Gynecology ,"Syndrome
                        mayer-rokitansky-kuster-hauser",/disease/syndrome-mayer-rokitansky-kuster-hauser
Gynecology ,Urethro-vaginal fistula,/disease/urethro-vaginal-fistula
Gynecology ,"Urinary
                        incontinence and pelvic organ prolapse",/disease/urinary-incontinence-and-pelvic-organ-prolapse
Gynecology ,"Uterine fibroids (myoma
                        uteri)",/disease/uterine-fibroids-myoma-uteri
Gynecology ,Uterine prolapse,/disease/uterine-prolapse
Gynecology ,Vesico-vaginal fistula,/disease/vesico-vaginal-fistula
Gynecology ,Vulvar cancer,/disease/vulvar-cancer
Gynecology ,"Vulvar intraepithelial
                        neoplasia",/disease/vulvar-intraepithelial-neoplasia
Gynecology ,Vulvovaginal atrophy,/disease/vulvovaginal-atrophy
Gynecology ,Сondyloma acuminata,/disease/-ondyloma-acuminata
Hand surgery ,Carpal tunnel syndrome,/disease/carpal-tunnel-syndrome
Hand surgery ,Dupuytren contracture,/disease/dupuytren-contracture
Hand surgery ,Erbs palsy,/disease/erbs-palsy
Hand surgery ,"Plantar
                        fibromas (childrens digital fibromas)",/disease/plantar-fibromas-childrens-digital-fibromas
Hand surgery ,"Tennis elbow (lateral
                        epicondylitis)",/disease/tennis-elbow-lateral-epicondylitis
Hematology ,"Acute lymphoblastic
                        leukemia (all)",/disease/acute-lymphoblastic-leukemia-all
Hematology ,"Acute myeloid leukemia
                        (aml)",/disease/acute-myeloid-leukemia-aml
Hematology ,"Aggressive t-cell
                        lymphoma",/disease/aggressive-t-cell-lymphoma
Hematology ,Aplastic anemia,/disease/aplastic-anemia
Hematology ,"Burkitt
                        lymphoma",/disease/aggressive-b-cell-lymphoma-burkitts-lymphoma
Hematology ,"Chronic lymphocytic
                        leukemia (cll)",/disease/chronic-lymphocytic-leukemia-cll
Hematology ,"Chronic myelogenous
                        leukemia",/disease/chronic-myelogenous-leukemia
Hematology ,Hairy cell leukemia,/disease/hairy-cell-leukemia
Hematology ,Hemochromatosis,/disease/hemochromatosis
Hematology ,Hemophilia a b c,/disease/hemophilia-a-b-c
Hematology ,Henoch-schonlein purpura,/disease/henoch-schonlein-purpura
Hematology ,"Hodgkin lymphoma
                        (hodgkin disease)",/disease/hodgkin-lymphoma-hodgkin-disease
Hematology ,"Idiopathic
                        thrombocytopenic purpura",/disease/idiopathic-thrombocytopenic-purpura
Hematology ,Multiples myeloma,/disease/multiples-myeloma
Hematology ,Myelodysplastic syndrome,/disease/myelodysplastic-syndrome
Hematology ,Myelofibrosis,/disease/myelofibrosis
Hematology ,Non-hodgkin lymphoma,/disease/non-hodgkin-lymphoma
Hematology ,Pancytopenia,/disease/pancytopenia
Hematology ,Polycythemia vera,/disease/polycythemia-vera
Hematology ,Spherocytosis,/disease/spherocytosis
Hematology ,T-cell lymphoma,/disease/t-cell-lymphoma
Hematology ,Thalassemia,/disease/thalassemia
Hematology ,Von willebrand disease,/disease/von-willebrand-disease
Infectiology ,AIDS (HIV),/disease/aids-hiv
Internal medicine ,Cholecystitis,/disease/cholecystitis
Internal medicine ,Pyloric stenosis,/disease/pyloric-stenosis
Internal medicine ,"Rheumatism (rheumatic
                        fever)",/disease/rheumatism-rheumatic-fever
Male infertility ,Erectile dysfunction,/disease/erectile-dysfunction
Male infertility ,Female infertility,/disease/female-infertility
Mammalogy ,Breast abscess,/disease/breast-abscess
Mammalogy ,Breast cancer,/disease/breast-cancer
Mammalogy ,"Breast fat tissue
                        necrosis",/disease/breast-fat-tissue-necrosis
Mammalogy ,Breast hypoplasia,/disease/breast-hypoplasia
Mammalogy ,Breast hypoplasia (atrophy),/disease/atrophy-of-the-breast
Mammalogy ,"Breast
                        microcalcifications",/disease/breast-microcalcifications
Mammalogy ,Breast tumor,/disease/breast-tumor
Mammalogy ,Cyst of breast,/disease/cyst-of-breast
Mammalogy ,"Fibrocystic breast
                        disease",/disease/fibrocystic-breast-disease
Nephrology ,Glomerulonephritis,/disease/glomerulonephritis
Nephrology ,Hematuria,/disease/hematuria
Nephrology ,Interstitial nephritis,/disease/interstitial-nephritis
Nephrology ,Pyelonephritis,/disease/pyelonephritis
Nephrology ,Urolithiasis,/disease/urolithiasis
Neurology ,Alzheimers disease,/disease/alzheimers-disease
Neurology ,"Amyotrophic lateral
                        sclerosis (ALS)",/disease/amyotrophic-lateral-sclerosis-als
Neurology ,Cerebrovascular disease,/disease/cerebrovascular-disease
Neurology ,Diabetic polyneuropathy,/disease/diabetic-polyneuropathy
Neurology ,"Disease of the
                        central nervous system (cns) of unknown etiology",/disease/disease-of-the-central-nervous-system-cns-of-unknown-etiology
Neurology ,"Duchenne muscular
                        dystrophy",/disease/duchenne-muscular-dystrophy
Neurology ,Epilepsy,/disease/epilepsy
Neurology ,Facial nerve paresis,/disease/facial-nerve-paresis
Neurology ,"Guillain-barre
                        syndrome",/disease/guillain-barre-syndrome-acute-polyradiculitis
Neurology ,Huntingtons chorea,/disease/huntingtons-chorea
Neurology ,Meningitis,/disease/meningitis
Neurology ,Meningoencephalitis,/disease/meningoencephalitis
Neurology ,Migraine,/disease/migraine
Neurology ,Multiple sclerosis,/disease/multiple-sclerosis
Neurology ,Myasthenia,/disease/myasthenia
Neurology ,Osteochondrosis,/disease/osteochondrosis
Neurology ,Parkinsons disease,/disease/parkinsons-disease
Neurology ,Polyneuropathy,/disease/polyneuropathy
Neurology ,Radiculitis,/disease/radiculitis
Neurology ,Restless legs syndrome,/disease/restless-legs-syndrome
Neurology ,Stroke,/disease/stroke
Neurology ,Syringomyelia,/disease/syringomyelia
Neurology ,Trigeminal neuralgia,/disease/trigeminal-neuralgia
Neurology ,Vertigo,/disease/vertigo
"Neurorehabilitation
        ","Neurorehabilitation (neurological
                        rehabilitation)",/disease/neurorehabilitation
Neurosurgery ,Acoustic neuroma,/disease/acoustic-neuroma
Neurosurgery ,Acromegaly,/disease/acromegaly
Neurosurgery ,Angioma of brain,/disease/angioma-of-brain
Neurosurgery ,"Ankylosing
                        spondylitis (cervical spondylosis)",/disease/ankylosing-spondylitis-cervical-spondylosis
Neurosurgery ,"Arteriovenous
                        malformation (AVM)",/disease/arteriovenous-malformation-avm
Neurosurgery ,Astrocytoma brain,/disease/astrocytoma-brain
Neurosurgery ,Av-malformation of brain,/disease/av-malformation-of-brain
Neurosurgery ,Brain aneurysm,/disease/brain-aneurysm
Neurosurgery ,Brain cavernoma,/disease/cavernoma-of-brain
Neurosurgery ,Brain hemangioma,/disease/hemangioma-of-brain
Neurosurgery ,Cervical dystonia,/disease/cervical-dystonia
Neurosurgery ,Chordoma,/disease/chordoma-of-the-sacrum
Neurosurgery ,"Chordoma of the skull
                        base",/disease/chordoma-of-the-skull-base
Neurosurgery ,Chronic spinal pain,/disease/chronic-spinal-pain
Neurosurgery ,"Cranial
                        bone defects",/disease/cranial-bone-defects-after-a-craniocereberal-trauma
Neurosurgery ,Ependymoblastoma,/disease/ependymoblastoma
Neurosurgery ,Ependymoma,/disease/ependymoma
Neurosurgery ,Epilepsy,/disease/epilepsy
Neurosurgery ,Epindimoma,/disease/epindimoma
Neurosurgery ,Facet syndrome,/disease/facet-syndrome
Neurosurgery ,"Failed back surgery
                        syndrome",/disease/failed-back-surgery-syndrome
Neurosurgery ,Glioblastoma (brain cancer),/disease/glioblastoma
Neurosurgery ,Herniated disc,/disease/herniated-disk
Neurosurgery ,Hydrocephalus,/disease/hydrocephalus
Neurosurgery ,Intracranial germinoma,/disease/intracranial-germinoma
Neurosurgery ,"Intramedullary
                        spinal cord hematoma",/disease/intramedullary-spinal-cord-hematoma
Neurosurgery ,Medulloblastoma,/disease/medulloblastoma
Neurosurgery ,Meningioma of brain,/disease/meningioma
Neurosurgery ,Moyamoya disease,/disease/moyamoya-disease
Neurosurgery ,Myelomaeningocele,/disease/myelomaeningocele
Neurosurgery ,Nerve damage,/disease/nerve-damage
Neurosurgery ,Parkinsons disease,/disease/parkinsons-disease
Neurosurgery ,Pituitary adenoma,/disease/pituitary-adenoma
Neurosurgery ,"Prolactinoma
                        (hyperprolactinemia)",/disease/prolactinoma-hyperprolactinemia
Neurosurgery ,Scoliosis,/disease/scoliosis
Neurosurgery ,"Spastic
                        syndrome",/disease/spastic-syndrome-of-various-etiologies
Neurosurgery ,Spinal cord empyema,/disease/spinal-cord-empyema
Neurosurgery ,"Spinal cord malignant
                        tumor",/disease/spinal-cord-malignant-tumor
Neurosurgery ,Spinal meningioma,/disease/spinal-meningioma
Neurosurgery ,Spinal neurinoma,/disease/spinal-neurinoma
Neurosurgery ,Spinal stenosis,/disease/spinal-stenosis
Neurosurgery ,Subdural brain hematoma,/disease/subdural-brain-hematoma
Neurosurgery ,Subdural empyema,/disease/subdural-empyema
Neurosurgery ,Syringomyelia,/disease/syringomyelia
Neurosurgery ,Trigeminal neuralgia,/disease/trigeminal-neuralgia
Nuclear Medicine ,Prostate cancer,/disease/prostate-cancer
Nuclear Medicine ,Thyroid cancer,/disease/thyroid-cancer
Obesity ,Abdominal obesity,/disease/abdominal-obesity
Obesity ,Obesity (overweight),/disease/obesity
Obstetrics ,Childbirth,/disease/childbirth
Obstetrics ,"Remains
                        of embryonic tissue and fetal membranes",/disease/remains-of-embryonic-tissue-and-fetal-membranes
Ophthalmology ,Acute glaucoma,/disease/acute-glaucoma
Ophthalmology ,Cataract,/disease/cataract
Ophthalmology ,Congenital glaucoma,/disease/congenital-glaucoma
Ophthalmology ,Congenital lid nevus,/disease/congenital-lid-nevus
Ophthalmology ,Conjunctival adhesions,/disease/conjunctival-adhesions
Ophthalmology ,Cornea detachment,/disease/cornea-detachment
Ophthalmology ,Corneal damage,/disease/corneal-damage
Ophthalmology ,Corneal opacity,/disease/corneal-opacity
Ophthalmology ,Diabetic retinopathy,/disease/diabetic-retinopathy
Ophthalmology ,Ectropion eye,/disease/ectropion-eye
Ophthalmology ,Eye cancer,/disease/eye-cancer
Ophthalmology ,Eye vessels occlusion,/disease/eye-vessels-occlusion
Ophthalmology ,Eyelid tumor,/disease/eyelid-tumor
Ophthalmology ,Glaucoma,/disease/glaucoma
Ophthalmology ,"Glaucoma combined with
                        cataract",/disease/glaucoma-combined-with-cataract
Ophthalmology ,Keratoconus,/disease/keratoconus
Ophthalmology ,"Macular
                        degeneration",/disease/macular-retinal-degeneration-caused-by-diabetic-retinopathy-maculopathy
Ophthalmology ,Macular edema,/disease/macular-edema
Ophthalmology ,Medulloepithelioma,/disease/medulloepithelioma
Ophthalmology ,Myopia,/disease/myopia
Ophthalmology ,"Nystagmus, strabismus",/disease/nystagmus-strabismus
Ophthalmology ,"Ophthalmitis
                        caused by sjogrens syndrome",/disease/ophthalmitis-caused-by-sjogrens-syndrome
Ophthalmology ,Retina degeneration,/disease/retina-degeneration
Ophthalmology ,Retinal detachment,/disease/retinal-detachment
Ophthalmology ,Retinoblastoma,/disease/retinoblastoma
Ophthalmology ,Tear duct blocked,/disease/tear-duct-blocked
Ophthalmology ,"Traumatic injury of
                        eyeball",/disease/traumatic-injury-of-eyeball
Ophthalmology ,Vitreous degeneration,/disease/vitreous-degeneration
Ophthalmology ,Vitreous haze,/disease/vitreous-haze
"Oral and
        maxillofacial surgery ",Oral cancer,/disease/oral-cancer
"Oral and
        maxillofacial surgery ","Orbital
                        rhabdomyosarcoma",/disease/orbital-rhabdomyosarcoma-in-children
Orthopedics ,After osteosynthesis,/disease/after-osteosynthesis
Orthopedics ,Ankle joint arthrosis,/disease/ankle-joint-arthrosis
Orthopedics ,"Anterior cruciate
                        ligament injury",/disease/anterior-cruciate-ligament-injury
Orthopedics ,Chondroma,/disease/chondroma
Orthopedics ,Elbow arthritis,/disease/elbow-arthritis
Orthopedics ,Elbow bursitis,/disease/elbow-bursitis
Orthopedics ,Elbow joint arthrosis,/disease/elbow-joint-arthrosis
Orthopedics ,Ewing sarcoma,/disease/ewing-sarcoma
Orthopedics ,Femoral neck fracture,/disease/femoral-neck-fracture
Orthopedics ,Fractured femur,/disease/fractured-femur
Orthopedics ,Fractured forearm,/disease/fractured-forearm
Orthopedics ,Hip dysplasia,/disease/hip-dysplasia-in-infants
Orthopedics ,Hip impingement,/disease/hip-impingement
Orthopedics ,"Hip osteoarthritis
                        (coxarthrosis)",/disease/hip-osteoarthritis-coxarthrosis
Orthopedics ,Knee arthritis,/disease/knee-arthritis
Orthopedics ,Knee instability,/disease/knee-instability
